Week,Chocolate
2019-03-10,28
2019-03-17,27
2019-03-24,28
2019-03-31,29
2019-04-07,30
2019-04-14,32
2019-04-21,28
2019-04-28,26
2019-05-05,30
2019-05-12,27
2019-05-19,26
2019-05-26,27
2019-06-02,27
2019-06-09,28
2019-06-16,28
2019-06-23,27
2019-06-30,26
2019-07-07,26
2019-07-14,27
2019-07-21,26
2019-07-28,27
2019-08-04,28
2019-08-11,27
2019-08-18,26
2019-08-25,25
2019-09-01,25
2019-09-08,27
2019-09-15,25
2019-09-22,26
2019-09-29,26
2019-10-06,28
2019-10-13,29
2019-10-20,29
2019-10-27,30
2019-11-03,31
2019-11-10,33
2019-11-17,35
2019-11-24,46
2019-12-01,35
2019-12-08,42
2019-12-15,55
2019-12-22,55
2019-12-29,37
2020-01-05,33
2020-01-12,34
2020-01-19,33
2020-01-26,35
2020-02-02,38
2020-02-09,61
2020-02-16,35
2020-02-23,30
2020-03-01,31
2020-03-08,27
2020-03-15,26
2020-03-22,31
2020-03-29,35
2020-04-05,43
2020-04-12,39
2020-04-19,37
2020-04-26,37
2020-05-03,41
2020-05-10,39
2020-05-17,34
2020-05-24,32
2020-05-31,29
2020-06-07,31
2020-06-14,30
2020-06-21,31
2020-06-28,30
2020-07-05,29
2020-07-12,29
2020-07-19,30
2020-07-26,30
2020-08-02,29
2020-08-09,28
2020-08-16,28
2020-08-23,28
2020-08-30,28
2020-09-06,28
2020-09-13,29
2020-09-20,29
2020-09-27,28
2020-10-04,31
2020-10-11,31
2020-10-18,33
2020-10-25,37
2020-11-01,25
2020-11-08,33
2020-11-15,41
2020-11-22,52
2020-11-29,41
2020-12-06,50
2020-12-13,60
2020-12-20,74
2020-12-27,40
2021-01-03,38
2021-01-10,47
2021-01-17,46
2021-01-24,50
2021-01-31,60
2021-02-07,74
2021-02-14,64
2021-02-21,42
2021-02-28,38
2021-03-07,35
2021-03-14,36
2021-03-21,34
2021-03-28,38
2021-04-04,34
2021-04-11,31
2021-04-18,32
2021-04-25,31
2021-05-02,36
2021-05-09,32
2021-05-16,29
2021-05-23,30
2021-05-30,30
2021-06-06,30
2021-06-13,32
2021-06-20,30
2021-06-27,28
2021-07-04,29
2021-07-11,29
2021-07-18,33
2021-07-25,32
2021-08-01,33
2021-08-08,33
2021-08-15,33
2021-08-22,33
2021-08-29,33
2021-09-05,32
2021-09-12,33
2021-09-19,32
2021-09-26,33
2021-10-03,33
2021-10-10,35
2021-10-17,38
2021-10-24,38
2021-10-31,40
2021-11-07,44
2021-11-14,45
2021-11-21,55
2021-11-28,47
2021-12-05,57
2021-12-12,60
2021-12-19,75
2021-12-26,47
2022-01-02,42
2022-01-09,42
2022-01-16,40
2022-01-23,44
2022-01-30,49
2022-02-06,59
2022-02-13,57
2022-02-20,40
2022-02-27,38
2022-03-06,37
2022-03-13,37
2022-03-20,37
2022-03-27,36
2022-04-03,37
2022-04-10,42
2022-04-17,37
2022-04-24,37
2022-05-01,38
2022-05-08,37
2022-05-15,33
2022-05-22,33
2022-05-29,33
2022-06-05,34
2022-06-12,34
2022-06-19,35
2022-06-26,36
2022-07-03,35
2022-07-10,34
2022-07-17,33
2022-07-24,32
2022-07-31,34
2022-08-07,34
2022-08-14,33
2022-08-21,33
2022-08-28,33
2022-09-04,32
2022-09-11,33
2022-09-18,36
2022-09-25,35
2022-10-02,38
2022-10-09,38
2022-10-16,42
2022-10-23,42
2022-10-30,43
2022-11-06,43
2022-11-13,50
2022-11-20,58
2022-11-27,52
2022-12-04,56
2022-12-11,69
2022-12-18,83
2022-12-25,59
2023-01-01,43
2023-01-08,43
2023-01-15,44
2023-01-22,49
2023-01-29,49
2023-02-05,54
2023-02-12,64
2023-02-19,43
2023-02-26,43
2023-03-05,48
2023-03-12,48
2023-03-19,52
2023-03-26,56
2023-04-02,54
2023-04-09,44
2023-04-16,44
2023-04-23,45
2023-04-30,45
2023-05-07,48
2023-05-14,46
2023-05-21,45
2023-05-28,41
2023-06-04,44
2023-06-11,45
2023-06-18,42
2023-06-25,43
2023-07-02,47
2023-07-09,42
2023-07-16,42
2023-07-23,42
2023-07-30,42
2023-08-06,41
2023-08-13,43
2023-08-20,41
2023-08-27,41
2023-09-03,39
2023-09-10,43
2023-09-17,45
2023-09-24,47
2023-10-01,46
2023-10-08,50
2023-10-15,54
2023-10-22,51
2023-10-29,56
2023-11-05,55
2023-11-12,62
2023-11-19,73
2023-11-26,66
2023-12-03,79
2023-12-10,88
2023-12-17,100
2023-12-24,77
2023-12-31,57
2024-01-07,56
2024-01-14,60
2024-01-21,58
2024-01-28,58
2024-02-04,66
2024-02-11,76
2024-02-18,55
2024-02-25,51
